url,title,pubdate,tags
https://www.england.nhs.uk/2019/06/dozens-of-nhs-staff-awarded-honours-in-queens-birthday-list/,Dozens of NHS staff awarded honours in Queen’s Birthday list,2019-06-07,workforce
https://www.england.nhs.uk/2019/06/nhs-saves-cornwall-surgery/,NHS saves Cornwall surgery,2019-06-11,gp
https://www.england.nhs.uk/2019/06/nhs-sets-out-care-for-young-carers-offer-in-gp-surgeries/,NHS sets out ‘care for young carers’ offer in GP surgeries,2019-06-11,"carers,cyp"
https://www.england.nhs.uk/2019/06/nhs-aims-to-be-a-world-leader-in-ai-and-machine-learning-within-5-years/,NHS aims to be a world leader in artificial intelligence and machine learning within 5 years,2019-06-05,"digital,innovation,long-term-plan"
https://www.england.nhs.uk/2019/06/amanda-pritchard-appointed-nhs-chief-operating-officer-and-chief-executive-of-nhs-improvement/,Amanda Pritchard appointed NHS’ Chief Operating Officer and Chief Executive of NHS Improvement,2019-06-05,"about-us,workforce"
https://www.england.nhs.uk/2019/06/nearly-three-quarters-of-a-million-patients-set-to-benefit-from-world-leading-innovations-on-the-nhs/,Nearly three quarters of a million patients set to benefit from world-leading innovations on the NHS,2019-06-05,"digital,innovation,long-term-plan"
https://www.england.nhs.uk/2019/06/more-staff-not-enough-nhs-must-also-be-best-place-to-work-says-new-nhs-people-plan/,“More staff not enough – NHS must also be best place to work” says new NHS people plan,2019-06-03,"long-term-plan,workforce"
https://www.england.nhs.uk/2019/06/heat-health-watch-alert-14/,Heat-health watch alert: level 1 – summer preparedness,2019-06-03,heat-alert
https://www.england.nhs.uk/2019/05/thousands-more-gp-staff-recruited-across-england/,Thousands more GP staff recruited across England,2019-05-30,"gp,nursing-midwifery-care,pharmacy,primary-care"
https://www.england.nhs.uk/2019/05/online-diabetes-support/,New NHS online support for Type 2 diabetes,2019-05-28,diabetes
https://www.england.nhs.uk/2019/05/nhs-hands-50000-people-control-of-their-own-care/,"NHS hands 50,000 people control of their own care",2019-05-27,"long-term-plan,phb,ipc"
https://www.england.nhs.uk/2019/05/nhs-skype-doctors-and-nurses-prevent-thousands-of-avoidable-hospital-trips/,‘NHS Skype doctors and nurses’ prevent thousands of avoidable hospital trips,2019-05-26,uec
https://www.england.nhs.uk/2019/05/nhs-111-prevents-unnecessary-ae-visits/,NHS 111 prevents more than 12 million unnecessary A&E visits,2019-05-25,"nhs-111,uec"
https://www.england.nhs.uk/2019/05/more-convenient-cancer-screening-services-must-be-rolled-out-to-boost-uptake/,"More convenient cancer screening services must be rolled out to boost uptake, says Professor Sir Mike Richards",2019-05-24,"cancer,digital"
https://www.england.nhs.uk/2019/05/nhs-invests-5-million-to-improve-care-for-people-with-a-learning-disability/,NHS invests £5 million to improve care for people with a learning disability,2019-05-21,learning-disability
https://www.england.nhs.uk/2019/05/national-heroes-service/,National Heroes Service: GPs told ‘our veterans need you’,2019-05-19,"armed-forces,gp,long-term-plan"
https://www.england.nhs.uk/2019/05/nhs-funds-tech-to-protect-prostate-cancer-patients-during-radiation-treatment/,NHS funds tech to protect prostate cancer patients during radiation treatment,2019-05-13,"cancer,innovation,long-term-plan"
https://www.england.nhs.uk/2019/05/army-of-nhs-experts-to-tackle-over-medication/,Army of NHS experts brought in to care homes to tackle over-medication,2019-05-10,"medicine,older-people,patient-care,pharmacy"
https://www.england.nhs.uk/2019/05/nhs-england-strikes-deal-to-make-innovative-multiple-sclerosis-drug-available-paving-the-way-for-nice-recommendation/,"NHS England strikes deal to make innovative Multiple Sclerosis drug available, paving the way for NICE recommendation",2019-05-09,"ltc,long-term-plan,medicine"
